physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG1-3,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,50.41191919976664,39.86503897456711,-10.54688022519953
BCG1-3,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,41.83634798432106,29.772676713877296,-12.063671270443763
BCG1-3,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.951799321247805,40.148479994835256,-13.803319326412549
BCG1-4,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,45.3148050392228,39.02762802739361,-6.287177011829186
BCG1-4,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,49.6820799770248,41.194069727346765,-8.488010249678034
BCG1-4,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,40.830503906945786,30.01723572518292,-10.813268181762865
BCG1-4,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.5373416555915,41.63898456866124,-11.898357086930254
BCG1-5,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,41.88291023455776,37.96717297892444,-3.9157372556333243
BCG1-5,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,49.93298677967987,40.20716485186876,-9.725821927811111
BCG1-5,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.15865601115706,31.213499744797367,-11.945156266359696
BCG1-5,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,52.70009538881958,41.0003495018341,-11.699745886985475
BCG1-6,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.2967754690985,39.22088335953553,-4.075892109562972
BCG1-6,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.45454567856691,40.2652991030685,-11.189246575498409
BCG1-6,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,42.56627635381874,30.912252516799985,-11.654023837018759
BCG1-6,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,49.42532264011523,41.36899731438269,-8.056325325732544
